Year,Quarter,client_lobby_actor_id,client_name,LDA_frequency
2010,4,7926,National Retail Federation,4
2011,3,7926,National Retail Federation,5
2012,2,7926,National Retail Federation,7
2013,1,7926,National Retail Federation,5
2010,3,8900,Elevance Health Inc.,5
2011,2,8900,Elevance Health Inc.,4
2012,1,8900,Elevance Health Inc.,4
2010,1,10927,Cigna Group,5
2010,4,10927,Cigna Group,4
2011,3,10927,Cigna Group,4
2012,2,10927,Cigna Group,3
2013,1,10927,Cigna Group,3
2013,4,10927,Cigna Group,3
2014,3,10927,Cigna Group,3
2015,2,10927,Cigna Group,3
2016,1,10927,Cigna Group,6
2010,3,11862,Ford Motor Co.,7
2011,2,11862,Ford Motor Co.,8
2012,1,11862,Ford Motor Co.,6
2012,4,11862,Ford Motor Co.,5
2013,3,11862,Ford Motor Co.,7
2014,2,11862,Ford Motor Co.,7
2015,1,11862,Ford Motor Co.,8
2015,4,11862,Ford Motor Co.,6
2016,3,11862,Ford Motor Co.,7
2017,2,11862,Ford Motor Co.,8
2018,1,11862,Ford Motor Co.,8
2018,4,11862,Ford Motor Co.,9
2019,3,11862,Ford Motor Co.,9
2020,2,11862,Ford Motor Co.,9
2021,1,11862,Ford Motor Co.,10
2010,2,18384,Airlines for America Inc.,7
2011,1,18384,Airlines for America Inc.,4
2011,4,18384,Airlines for America Inc.,6
2012,3,18384,Airlines for America Inc.,6
2013,2,18384,Airlines for America Inc.,5
2014,1,18384,Airlines for America Inc.,5
2014,4,18384,Airlines for America Inc.,5
2015,3,18384,Airlines for America Inc.,6
2016,2,18384,Airlines for America Inc.,8
2017,1,18384,Airlines for America Inc.,9
2010,3,20225,GSK plc,8
2011,2,20225,GSK plc,8
2012,1,20225,GSK plc,8
2012,4,20225,GSK plc,6
2013,3,20225,GSK plc,8
2014,2,20225,GSK plc,8
2015,1,20225,GSK plc,7
2015,4,20225,GSK plc,6
2016,3,20225,GSK plc,7
2017,2,20225,GSK plc,7
2018,1,20225,GSK plc,7
2010,1,29779,American Medical Association,4
2010,4,29779,American Medical Association,4
2011,3,29779,American Medical Association,5
2012,2,29779,American Medical Association,5
2013,1,29779,American Medical Association,5
2013,4,29779,American Medical Association,5
2014,3,29779,American Medical Association,5
2015,2,29779,American Medical Association,5
2016,1,29779,American Medical Association,5
2016,4,29779,American Medical Association,4
2017,3,29779,American Medical Association,5
2018,2,29779,American Medical Association,5
2019,1,29779,American Medical Association,5
2010,2,36150,Prudential Financial Inc.,11
2011,1,36150,Prudential Financial Inc.,12
2011,4,36150,Prudential Financial Inc.,12
2012,3,36150,Prudential Financial Inc.,12
2013,2,36150,Prudential Financial Inc.,12
2014,1,36150,Prudential Financial Inc.,13
2014,4,36150,Prudential Financial Inc.,12
2015,3,36150,Prudential Financial Inc.,14
2016,2,36150,Prudential Financial Inc.,14
2017,1,36150,Prudential Financial Inc.,14
2017,4,36150,Prudential Financial Inc.,13
2018,3,36150,Prudential Financial Inc.,12
2019,2,36150,Prudential Financial Inc.,13
2020,1,36150,Prudential Financial Inc.,12
2010,3,46079,Gilead Sciences Inc.,5
2011,2,46079,Gilead Sciences Inc.,5
2012,1,46079,Gilead Sciences Inc.,5
2012,4,46079,Gilead Sciences Inc.,5
2013,3,46079,Gilead Sciences Inc.,8
2014,2,46079,Gilead Sciences Inc.,7
2015,1,46079,Gilead Sciences Inc.,8
2019,3,48709,Open Society Policy Center Inc.,3
2020,2,48709,Open Society Policy Center Inc.,2
2021,1,48709,Open Society Policy Center Inc.,1
2010,2,54262,ConocoPhillips Co.,2
2011,1,54262,ConocoPhillips Co.,2
2011,4,54262,ConocoPhillips Co.,3
2012,3,54262,ConocoPhillips Co.,3
2013,2,54262,ConocoPhillips Co.,4
2014,1,54262,ConocoPhillips Co.,4
2014,4,54262,ConocoPhillips Co.,4
2015,3,54262,ConocoPhillips Co.,4
2016,2,54262,ConocoPhillips Co.,4
2017,1,54262,ConocoPhillips Co.,5
2017,4,54262,ConocoPhillips Co.,5
2018,3,54262,ConocoPhillips Co.,5
2019,2,54262,ConocoPhillips Co.,4
2020,1,54262,ConocoPhillips Co.,4
2012,4,57099,Business Roundtable Inc.,14
2013,3,57099,Business Roundtable Inc.,16
2014,2,57099,Business Roundtable Inc.,17
2015,1,57099,Business Roundtable Inc.,17
2015,4,57099,Business Roundtable Inc.,16
2016,3,57099,Business Roundtable Inc.,15
2017,2,57099,Business Roundtable Inc.,12
2018,1,57099,Business Roundtable Inc.,10
2018,4,57099,Business Roundtable Inc.,9
2019,3,57099,Business Roundtable Inc.,12
2020,2,57099,Business Roundtable Inc.,14
2021,1,57099,Business Roundtable Inc.,12
2021,4,57099,Business Roundtable Inc.,14
2022,3,57099,Business Roundtable Inc.,14
